date,pair,new_link,status,old_link
2025-10-07,CAR@EDM,,UNLINKED_NO_MATCH,UHA-1.html
2025-10-07,PHI@NYI,,UNLINKED_NO_MATCH,UHA-2.html
2025-10-07,CHI@FLA,UHA-1.html,CHANGED,UHA-3.html
2025-10-08,MIN@TBL,,UNLINKED_NO_MATCH,UHA-4.html
2025-10-08,ARI@WSH,,UNLINKED_NO_MATCH,UHA-5.html
2025-10-08,BUF@DET,,UNLINKED_NO_MATCH,UHA-6.html
2025-10-08,FLA@VGK,,UNLINKED_NO_MATCH,UHA-7.html
2025-10-09,CAR@ARI,,UNLINKED_NO_MATCH,UHA-8.html
2025-10-09,NYI@BOS,,UNLINKED_NO_MATCH,UHA-9.html
2025-10-09,MIN@DAL,,UNLINKED_NO_MATCH,
2025-10-09,NYR@STL,,UNLINKED_NO_MATCH,UHA-11.html
2025-10-09,OTT@EDM,,UNLINKED_NO_MATCH,UHA-12.html
2025-10-09,NJD@PHI,,UNLINKED_NO_MATCH,UHA-13.html
2025-10-09,NSH@CGY,,UNLINKED_NO_MATCH,UHA-14.html
2025-10-09,LAK@SEA,,UNLINKED_NO_MATCH,UHA-15.html
2025-10-09,COL@MTL,,UNLINKED_NO_MATCH,UHA-16.html
2025-10-09,CBJ@WPG,,UNLINKED_NO_MATCH,UHA-17.html
2025-10-09,TOR@CHI,UHA-18.html,OK,UHA-18.html
2025-10-09,BUF@VAN,,UNLINKED_NO_MATCH,UHA-19.html
2025-10-09,VGK@PIT,,UNLINKED_NO_MATCH,UHA-20.html
2025-10-09,ANA@SJS,,UNLINKED_NO_MATCH,UHA-21.html
2025-10-11,FLA@WPG,,UNLINKED_NO_MATCH,
2025-10-11,SEA@BUF,,UNLINKED_NO_MATCH,
2025-10-11,BOS@ARI,,UNLINKED_NO_MATCH,
2025-10-11,TBL@DAL,,UNLINKED_NO_MATCH,
2025-10-11,NSH@STL,,UNLINKED_NO_MATCH,
2025-10-11,NYR@EDM,,UNLINKED_NO_MATCH,
2025-10-11,WSH@NJD,,UNLINKED_NO_MATCH,
2025-10-11,NYI@PHI,,UNLINKED_NO_MATCH,
2025-10-11,OTT@CGY,,UNLINKED_NO_MATCH,
2025-10-11,MIN@CAR,,UNLINKED_NO_MATCH,
2025-10-11,TOR@MTL,UHA-4.html,CHANGED,
2025-10-11,COL@LAK,,UNLINKED_NO_MATCH,
2025-10-11,CBJ@CHI,,UNLINKED_NO_MATCH,
2025-10-11,VAN@DET,,UNLINKED_NO_MATCH,
2025-10-11,ANA@PIT,UHA-56.html,OK,UHA-56.html
2025-10-11,VGK@SJS,,UNLINKED_NO_MATCH,
2025-10-12,WSH@NYI,,UNLINKED_NO_MATCH,
2025-10-13,CHI@BOS,,UNLINKED_NO_MATCH,UHA-39.html
2025-10-13,STL@ARI,,UNLINKED_NO_MATCH,UHA-40.html
2025-10-13,MTL@NYR,,UNLINKED_NO_MATCH,UHA-41.html
2025-10-13,WPG@NJD,,UNLINKED_NO_MATCH,UHA-42.html
2025-10-13,DAL@TBL,,UNLINKED_NO_MATCH,UHA-43.html
2025-10-13,EDM@OTT,,UNLINKED_NO_MATCH,UHA-44.html
2025-10-13,NSH@COL,,UNLINKED_NO_MATCH,UHA-45.html
2025-10-13,SEA@VAN,,UNLINKED_NO_MATCH,UHA-46.html
2025-10-13,FLA@LAK,,UNLINKED_NO_MATCH,UHA-47.html
2025-10-13,TOR@CAR,UHA-48.html,OK,UHA-48.html
