file,status,pair,winningGoalie
UHA-1,REBILT,CHI@FLA,"Connor Murphy"
UHA-10,REBILT,MTL@DET,"David Savard"
UHA-11,REBILT,OTT@TBL,"Dylan Cozens"
UHA-12,REBILT,FLA@PHI,"Sam Reinhart"
UHA-13,REBILT,PIT@NYI,"Noah Dobson"
UHA-14,REBILT,NJD@CAR,"Timo Meier"
UHA-15,REBILT,MIN@STL,"Pavel Buchnevich"
UHA-16,REBILT,CBJ@NSH,"Mathieu Olivier"
UHA-17,REBILT,WPG@DAL,"Adam Lowry"
UHA-18,REBILT,UTA@COL,"Miles Wood"
UHA-19,REBILT,VAN@CGY,"Blake Coleman"
UHA-2,REBILT,NYR@PIT,"Connor Dewar"
UHA-20,REBILT,SJS@VGK,"Timothy Liljegren"
UHA-21,REBILT,SEA@ANA,"Scott Harrington"
UHA-3,REBILT,LAK@COL,"Miles Wood"
UHA-39,REBILT,BUF@COL,"Devon Toews"
UHA-4,REBILT,TOR@MTL,"Max Domi"
UHA-40,REBILT,TBL@BOS,"Nikita Zadorov"
UHA-41,REBILT,NSH@OTT,"Travis Hamonic"
UHA-42,REBILT,WPG@NYI,"Adam Lowry"
UHA-43,REBILT,DET@TOR,"Michael Rasmussen"
UHA-44,REBILT,PHI@FLA,"Rasmus Ristolainen"
UHA-45,REBILT,CBJ@NJD,"Damon Severson"
UHA-46,REBILT,STL@VAN,"Pavel Buchnevich"
UHA-47,REBILT,MIN@LAK,"Alex Laferriere"
UHA-48,REBILT,UTA@CHI,"Michael Carcone"
UHA-49,REBILT,TOR@NSH,"Simon Benoit"
UHA-5,REBILT,BOS@WSH,"Nikita Zadorov"
UHA-50,REBILT,MTL@SEA,"Kaiden Guhle"
UHA-51,REBILT,EDM@NYR,"Leon Draisaitl"
UHA-52,REBILT,TBL@WSH,"Rasmus Sandin"
UHA-53,REBILT,CGY@VGK,"Blake Coleman"
UHA-54,REBILT,DAL@MIN,"Joel Eriksson Ek"
UHA-55,REBILT,CAR@SJS,"Ethan Cardwell"
UHA-56,REBILT,ANA@PIT,"Danton Heinen"
UHA-57,REBILT,BUF@OTT,"Brady Tkachuk"
UHA-58,REBILT,DET@FLA,"Simon Edvinsson"
UHA-59,REBILT,CHI@STL,"Ryan Donato"
UHA-6,REBILT,CGY@EDM,"Joel Farabee"
UHA-60,REBILT,CGY@UTA,"Matt Coronato"
UHA-7,REBILT,LAK@VGK,"Trevor Lewis"
UHA-8,REBILT,BOS@CHI,"Tyler Bertuzzi"
UHA-9,REBILT,BUF@NYR,"Artemi Panarin"
